Date,BBAS3,SANB3,B3SA3,PETR4,SAPR3,BOVA1,PETZ3
2020-09-15,31.989999771118164,13.4399995803833,19.093332290649414,21.670000076293945,5.550000190734863,96.45999908447266,15.5
2020-09-16,32.09000015258789,13.369999885559082,19.00666618347168,21.729999542236328,5.630000114440918,95.91000366210938,15.449999809265137
2020-09-17,32.150001525878906,13.210000038146973,18.893333435058594,22.149999618530273,5.639999866485596,96.37000274658203,15.600000381469727
2020-09-18,31.34000015258789,12.989999771118164,18.709999084472656,21.649999618530273,5.5,94.63999938964844,15.239999771118164
2020-09-21,30.8799991607666,12.970000267028809,18.700000762939453,20.899999618530273,5.449999809265137,93.4000015258789,14.949999809265137
2020-09-22,30.81999969482422,13.039999961853027,19.1200008392334,20.799999237060547,5.480000019073486,93.66999816894531,15.5
2020-09-23,30.18000030517578,12.699999809265137,18.6299991607666,20.229999542236328,5.460000038146973,92.16999816894531,14.800000190734863
2020-09-24,30.420000076293945,12.789999961853027,19.656665802001953,20.399999618530273,5.550000190734863,93.30000305175781,15.229999542236328
2020-09-25,30.299999237060547,12.770000457763672,19.116666793823242,20.1299991607666,5.46999979019165,93.5,15.0
2020-09-28,30.510000228881836,12.920000076293945,18.336666107177734,19.6299991607666,5.289999961853027,91.19999694824219,14.699999809265137
2020-09-29,29.760000228881836,12.789999961853027,17.883333206176758,19.309999465942383,5.260000228881836,89.91999816894531,14.300000190734863
2020-09-30,29.6200008392334,13.050000190734863,18.336666107177734,19.610000610351562,5.199999809265137,91.05000305175781,14.300000190734863
2020-10-01,29.790000915527344,12.920000076293945,18.176666259765625,19.850000381469727,5.179999828338623,91.91000366210938,14.899999618530273
2020-10-02,29.709999084472656,13.229999542236328,17.753332138061523,19.020000457763672,5.099999904632568,90.11000061035156,14.520000457763672
2020-10-05,30.229999542236328,13.210000038146973,18.583332061767578,20.030000686645508,5.099999904632568,92.63999938964844,14.0
2020-10-06,30.030000686645508,13.4399995803833,17.920000076293945,19.93000030517578,5.130000114440918,92.02999877929688,14.0
2020-10-07,29.809999465942383,13.460000038146973,17.90333366394043,19.790000915527344,5.150000095367432,91.94999694824219,14.380000114440918
2020-10-08,31.25,14.470000267028809,18.28333282470703,20.440000534057617,5.139999866485596,94.2699966430664,14.229999542236328
2020-10-09,31.040000915527344,14.729999542236328,18.236665725708008,19.799999237060547,5.190000057220459,93.6500015258789,14.699999809265137
2020-10-13,31.049999237060547,14.739999771118164,18.266666412353516,20.1299991607666,5.230000019073486,94.80000305175781,15.199999809265137
2020-10-14,30.850000381469727,14.949999809265137,18.793333053588867,19.969999313354492,5.349999904632568,95.58999633789062,15.460000038146973
2020-10-15,31.059999465942383,14.649999618530273,18.536666870117188,19.75,5.269999980926514,95.33999633789062,15.850000381469727
2020-10-16,30.270000457763672,14.40999984741211,18.113332748413086,19.329999923706055,5.190000057220459,94.54000091552734,15.970000267028809
2020-10-19,30.600000381469727,14.449999809265137,18.713333129882812,19.520000457763672,5.130000114440918,95.0,15.699999809265137
2020-10-20,32.0099983215332,14.670000076293945,19.299999237060547,20.18000030517578,5.130000114440918,96.66999816894531,16.350000381469727
2020-10-21,32.25,14.880000114440918,19.123332977294922,20.15999984741211,5.079999923706055,96.6500015258789,16.5
2020-10-22,33.650001525878906,15.489999771118164,18.690000534057617,20.84000015258789,5.110000133514404,98.05999755859375,16.540000915527344
2020-10-23,33.529998779296875,15.75,18.266666412353516,20.56999969482422,5.139999866485596,97.44000244140625,16.549999237060547
2020-10-26,33.5,15.970000267028809,18.3266658782959,20.25,5.199999809265137,97.2300033569336,16.989999771118164
2020-10-27,32.779998779296875,15.350000381469727,17.583332061767578,19.8799991607666,5.119999885559082,95.68000030517578,17.530000686645508
2020-10-28,31.139999389648438,14.699999809265137,17.110000610351562,18.670000076293945,4.849999904632568,91.55999755859375,17.200000762939453
2020-10-29,30.959999084472656,15.25,17.65999984741211,19.290000915527344,4.889999866485596,92.80000305175781,18.0
2020-10-30,29.799999237060547,14.600000381469727,17.016666412353516,18.940000534057617,4.78000020980835,90.66000366210938,17.75
2020-11-03,30.100000381469727,14.960000038146973,16.989999771118164,19.649999618530273,4.869999885559082,92.26000213623047,18.56999969482422
2020-11-04,30.31999969482422,14.770000457763672,18.03333282470703,19.719999313354492,5.0,94.16000366210938,18.90999984741211
2020-11-05,30.690000534057617,15.069999694824219,18.8700008392334,19.889999389648438,5.239999771118164,96.94999694824219,18.59000015258789
2020-11-06,30.489999771118164,14.90999984741211,18.873332977294922,19.75,5.239999771118164,97.19000244140625,18.149999618530273
2020-11-09,32.70000076293945,15.850000381469727,17.950000762939453,21.610000610351562,5.28000020980835,99.5,18.0
2020-11-10,34.369998931884766,16.950000762939453,18.03333282470703,23.079999923706055,5.28000020980835,101.0,17.649999618530273
2020-11-11,34.15999984741211,16.469999313354492,18.466665267944336,22.8799991607666,5.210000038146973,100.88999938964844,17.510000228881836
2020-11-12,32.72999954223633,15.949999809265137,17.926666259765625,21.90999984741211,4.96999979019165,98.69999694824219,18.079999923706055
2020-11-13,33.04999923706055,16.459999084472656,17.899999618530273,22.6299991607666,4.96999979019165,100.83000183105469,19.0
2020-11-16,33.900001525878906,17.639999389648438,17.799999237060547,23.290000915527344,5.070000171661377,102.51000213623047,18.75
2020-11-17,34.20000076293945,18.049999237060547,17.850000381469727,23.690000534057617,5.070000171661377,103.0999984741211,18.469999313354492
2020-11-18,34.279998779296875,17.739999771118164,18.016666412353516,23.549999237060547,5.010000228881836,101.91999816894531,18.0
