High,Low,Open,Close,Volume,Adj Close
15.479999542236328,14.9399995803833,15.399999618530273,15.079999923706055,43533700,15.079999923706055
15.449999809265137,14.869999885559082,15.100000381469727,15.0,38573500,15.0
15.199999809265137,14.899999618530273,15.119999885559082,15.079999923706055,28331300,15.079999923706055
15.3100004196167,14.970000267028809,15.149999618530273,15.220000267028809,29991600,15.220000267028809
15.470000267028809,14.880000114440918,15.15999984741211,14.930000305175781,32861700,14.930000305175781
14.970000267028809,14.289999961853027,14.9399995803833,14.350000381469727,44553700,14.350000381469727
14.789999961853027,14.350000381469727,14.350000381469727,14.600000381469727,34604100,14.600000381469727
14.619999885559082,14.279999732971191,14.460000038146973,14.479999542236328,23298500,14.479999542236328
14.720000267028809,14.3100004196167,14.399999618530273,14.619999885559082,22681900,14.619999885559082
14.850000381469727,14.3100004196167,14.520000457763672,14.489999771118164,30153100,14.489999771118164
14.619999885559082,14.0,14.4399995803833,14.0,41836400,14.0
13.520000457763672,12.90999984741211,13.300000190734863,12.9399995803833,82960100,12.9399995803833
13.539999961853027,13.069999694824219,13.130000114440918,13.1899995803833,44204000,13.1899995803833
13.399999618530273,13.010000228881836,13.300000190734863,13.270000457763672,31119300,13.270000457763672
13.630000114440918,12.539999961853027,13.25,12.609999656677246,46153100,12.609999656677246
13.119999885559082,11.75,12.829999923706055,11.869999885559082,84955900,11.869999885559082
12.59000015258789,11.979999542236328,12.0600004196167,12.109999656677246,54354500,12.109999656677246
12.149999618530273,11.1899995803833,11.949999809265137,12.020000457763672,90248200,12.020000457763672
12.350000381469727,11.319999694824219,12.319999694824219,11.920000076293945,100482300,11.920000076293945
12.600000381469727,11.920000076293945,12.0,12.109999656677246,71643500,12.109999656677246
12.239999771118164,11.6899995803833,12.09000015258789,12.029999732971191,48767200,12.029999732971191
12.199999809265137,11.420000076293945,11.770000457763672,11.539999961853027,53512000,11.539999961853027
11.720000267028809,10.949999809265137,11.670000076293945,10.979999542236328,57537700,10.979999542236328
12.1899995803833,11.100000381469727,11.15999984741211,11.869999885559082,83404300,11.869999885559082
12.430000305175781,11.859999656677246,12.25,12.319999694824219,61901300,12.319999694824219
12.199999809265137,11.760000228881836,12.069999694824219,11.800000190734863,44522300,11.800000190734863
12.369999885559082,11.739999771118164,11.819999694824219,12.239999771118164,49170700,12.239999771118164
12.369999885559082,11.789999961853027,12.15999984741211,12.0,39226400,12.0
12.220000267028809,11.770000457763672,11.880000114440918,12.1899995803833,35344300,12.1899995803833
12.100000381469727,11.569999694824219,12.039999961853027,11.609999656677246,43101000,11.609999656677246
12.229999542236328,11.6899995803833,11.699999809265137,12.15999984741211,56012400,12.15999984741211
12.4399995803833,11.829999923706055,12.069999694824219,12.079999923706055,41359500,12.079999923706055
12.220000267028809,11.770000457763672,12.010000228881836,12.109999656677246,35429000,12.109999656677246
12.210000038146973,11.399999618530273,12.180000305175781,11.4399995803833,52821600,11.4399995803833
12.039999961853027,11.319999694824219,11.5,12.039999961853027,52518100,12.039999961853027
12.130000114440918,11.739999771118164,12.020000457763672,11.970000267028809,37612300,11.970000267028809
12.069999694824219,11.720000267028809,11.949999809265137,11.8100004196167,33548900,11.8100004196167
12.449999809265137,11.789999961853027,11.829999923706055,12.34000015258789,49654600,12.34000015258789
12.489999771118164,12.010000228881836,12.319999694824219,12.069999694824219,36317300,12.069999694824219
12.520000457763672,12.069999694824219,12.100000381469727,12.25,40294400,12.25
12.670000076293945,12.350000381469727,12.5,12.520000457763672,31041400,12.520000457763672
12.65999984741211,12.279999732971191,12.5600004196167,12.359999656677246,32542700,12.359999656677246
12.420000076293945,12.069999694824219,12.3100004196167,12.3100004196167,31742600,12.3100004196167
13.039999961853027,12.279999732971191,12.329999923706055,12.920000076293945,52506500,12.920000076293945
12.819999694824219,12.399999618530273,12.800000190734863,12.470000267028809,51000000,12.470000267028809
12.6899995803833,12.359999656677246,12.569999694824219,12.569999694824219,30344100,12.569999694824219
12.829999923706055,12.5,12.59000015258789,12.609999656677246,40659300,12.609999656677246
12.930000305175781,12.539999961853027,12.680000305175781,12.779999732971191,40757900,12.779999732971191
13.029999732971191,12.710000038146973,12.880000114440918,12.829999923706055,37052900,12.829999923706055
12.890000343322754,12.579999923706055,12.800000190734863,12.75,35421000,12.75
12.949999809265137,12.649999618530273,12.800000190734863,12.800000190734863,42285500,12.800000190734863
12.829999923706055,12.5,12.779999732971191,12.670000076293945,31459600,12.670000076293945
13.270000457763672,12.59000015258789,12.760000228881836,12.630000114440918,46846200,12.630000114440918
13.15999984741211,12.6899995803833,12.850000381469727,13.119999885559082,49600800,13.119999885559082
13.449999809265137,12.739999771118164,13.350000381469727,12.850000381469727,59503000,12.850000381469727
12.930000305175781,12.109999656677246,12.899999618530273,12.15999984741211,84091000,12.15999984741211
12.40999984741211,11.960000038146973,12.279999732971191,12.220000267028809,42704800,12.220000267028809
12.300000190734863,11.970000267028809,12.229999542236328,12.100000381469727,33054900,12.100000381469727
12.260000228881836,11.829999923706055,12.0,11.829999923706055,33895200,11.829999923706055
12.079999923706055,11.760000228881836,11.949999809265137,11.869999885559082,25067200,11.869999885559082
11.949999809265137,11.720000267028809,11.890000343322754,11.9399995803833,26617500,11.9399995803833
12.180000305175781,11.880000114440918,11.90999984741211,12.100000381469727,22849100,12.100000381469727
12.170000076293945,11.800000190734863,12.029999732971191,11.960000038146973,30082800,11.960000038146973
12.3100004196167,12.0,12.079999923706055,12.15999984741211,26117700,12.15999984741211
12.350000381469727,11.899999618530273,12.149999618530273,12.029999732971191,24504200,12.029999732971191
