High,Low,Open,Close,Volume,Adj Close
34.79999923706055,33.5,33.970001220703125,34.2599983215332,425500,34.2599983215332
35.4900016784668,33.75,34.400001525878906,34.0,456700,34.0
34.72999954223633,33.84000015258789,34.0,34.56999969482422,539200,34.56999969482422
36.0,34.56999969482422,34.56999969482422,36.0,443400,36.0
37.45000076293945,35.20000076293945,36.40999984741211,35.689998626708984,486700,35.689998626708984
36.7599983215332,35.61000061035156,35.81999969482422,36.2400016784668,182200,36.2400016784668
36.72999954223633,35.150001525878906,36.2400016784668,35.18000030517578,125500,35.18000030517578
35.91999816894531,33.9900016784668,35.029998779296875,35.790000915527344,213500,35.790000915527344
37.70000076293945,35.93000030517578,35.93000030517578,37.70000076293945,432500,37.70000076293945
38.88999938964844,37.150001525878906,37.84000015258789,38.5,647300,38.5
39.0,37.29999923706055,38.900001525878906,37.869998931884766,274100,37.869998931884766
39.40999984741211,35.95000076293945,36.900001525878906,39.20000076293945,580700,39.20000076293945
39.86000061035156,37.70000076293945,39.20000076293945,38.369998931884766,371300,38.369998931884766
41.0,38.060001373291016,38.40999984741211,39.459999084472656,579400,39.459999084472656
40.47999954223633,37.810001373291016,39.70000076293945,38.0,392600,38.0
38.709999084472656,35.11000061035156,38.0099983215332,35.970001220703125,401200,35.970001220703125
40.880001068115234,36.709999084472656,37.290000915527344,38.90999984741211,2112300,38.90999984741211
41.880001068115234,38.529998779296875,38.90999984741211,41.59000015258789,1039800,41.59000015258789
44.369998931884766,39.599998474121094,41.400001525878906,40.599998474121094,1525200,40.599998474121094
42.9900016784668,40.90999984741211,41.20000076293945,41.5099983215332,483700,41.5099983215332
44.369998931884766,42.220001220703125,42.220001220703125,44.29999923706055,700400,44.29999923706055
46.400001525878906,42.349998474121094,45.310001373291016,43.599998474121094,990900,43.599998474121094
45.2599983215332,41.5,44.0,45.2599983215332,551400,45.2599983215332
46.70000076293945,45.130001068115234,45.599998474121094,46.5,416300,46.5
49.0,46.599998474121094,46.599998474121094,49.0,666000,49.0
50.9900016784668,47.0099983215332,49.04999923706055,47.5,934000,47.5
48.599998474121094,46.0,47.5,46.31999969482422,345700,46.31999969482422
47.0099983215332,44.47999954223633,46.29999923706055,44.47999954223633,549100,44.47999954223633
45.84000015258789,42.91999816894531,44.20000076293945,45.689998626708984,627400,45.689998626708984
46.84000015258789,42.209999084472656,45.790000915527344,42.540000915527344,560300,42.540000915527344
45.95000076293945,43.130001068115234,43.130001068115234,44.0,625500,44.0
44.56999969482422,42.79999923706055,43.97999954223633,42.79999923706055,248300,42.79999923706055
42.599998474121094,40.95000076293945,42.5,40.95000076293945,325400,40.95000076293945
42.349998474121094,40.40999984741211,41.61000061035156,41.20000076293945,448400,41.20000076293945
41.97999954223633,40.099998474121094,40.709999084472656,40.599998474121094,408500,40.599998474121094
42.599998474121094,39.08000183105469,41.56999969482422,39.400001525878906,822000,39.400001525878906
40.4900016784668,38.40999984741211,39.43000030517578,38.849998474121094,572000,38.849998474121094
40.599998474121094,37.75,38.86000061035156,39.29999923706055,926200,39.29999923706055
39.599998474121094,37.70000076293945,39.0,38.20000076293945,2760600,38.20000076293945
38.720001220703125,37.18000030517578,38.5099983215332,37.869998931884766,1816800,37.869998931884766
38.5099983215332,36.5099983215332,38.5099983215332,37.119998931884766,1068400,37.119998931884766
38.83000183105469,36.7400016784668,37.29999923706055,38.400001525878906,1603900,38.400001525878906
40.34000015258789,38.16999816894531,38.869998931884766,39.849998474121094,1944300,39.849998474121094
41.0,39.099998474121094,40.310001373291016,40.369998931884766,1489700,40.369998931884766
40.540000915527344,38.54999923706055,40.22999954223633,39.81999969482422,1060500,39.81999969482422
40.349998474121094,39.56999969482422,39.90999984741211,40.06999969482422,707100,40.06999969482422
40.290000915527344,39.77000045776367,40.290000915527344,39.959999084472656,956100,39.959999084472656
42.880001068115234,40.06999969482422,40.06999969482422,41.70000076293945,1783300,41.70000076293945
43.189998626708984,41.099998474121094,42.29999923706055,42.0,1276200,42.0
42.900001525878906,41.20000076293945,42.20000076293945,41.599998474121094,918200,41.599998474121094
43.939998626708984,41.83000183105469,42.0099983215332,43.0,1754500,43.0
44.88999938964844,43.0,43.0,43.650001525878906,1912900,43.650001525878906
44.5,42.70000076293945,44.29999923706055,44.08000183105469,1150600,44.08000183105469
46.099998474121094,44.09000015258789,44.54999923706055,45.869998931884766,1858700,45.869998931884766
47.150001525878906,45.04999923706055,45.869998931884766,45.150001525878906,1233900,45.150001525878906
46.099998474121094,44.779998779296875,45.150001525878906,45.5,1121500,45.5
46.459999084472656,42.56999969482422,45.5,45.79999923706055,1769700,45.79999923706055
47.41999816894531,45.11000061035156,46.15999984741211,45.72999954223633,1171800,45.72999954223633
46.290000915527344,43.150001525878906,45.72999954223633,43.66999816894531,3825400,43.66999816894531
43.84000015258789,41.70000076293945,43.689998626708984,42.0,1468800,42.0
42.70000076293945,40.560001373291016,42.2599983215332,41.0,1448700,41.0
42.279998779296875,40.650001525878906,41.5,41.349998474121094,3572400,41.349998474121094
42.150001525878906,41.09000015258789,41.900001525878906,41.38999938964844,909600,41.38999938964844
41.61000061035156,39.029998779296875,41.2599983215332,40.400001525878906,2179500,40.400001525878906
41.150001525878906,39.599998474121094,40.599998474121094,39.90999984741211,1542000,39.90999984741211
39.779998779296875,38.400001525878906,39.66999816894531,39.150001525878906,1010100,39.150001525878906
40.2599983215332,38.54999923706055,39.34000015258789,38.54999923706055,766200,38.54999923706055
39.04999923706055,37.209999084472656,38.58000183105469,37.70000076293945,970800,37.70000076293945
